Division No.,Member Name,Constiituency,State,No of Days Member signed the register
402,Smt. Sarmistha Kumari Sethi,Jajpur,Odisha,10 
337,Shri Basanta Kumar Panda,Kalahandi,Odisha,15 
370,Shri Achyutananda Samanta,Kandhamal,Odisha,17 
376,Shri Anubhav Mohanty,Kendrapara,Odisha,18 
423,Ms. Chandrani Murmu,Keonjhar,Odisha,13 
471,Shri Saptagiri Sankar Ulaka,Koraput,Odisha,20 
74,Shri Bishweswar Tudu,Mayurbhanj,Odisha,12 
384,Shri Ramesh Chandra Majhi,Nabarangpur,Odisha,15 
172,Shri Nitesh Ganga Deb,Sambalpur,Odisha,20 
73,Dr. Ranjan Singh Rajkumar,Inner Manipur,Manipur,20 
287,Dr. Lorho S. Pfoze,Outer Manipur,Manipur,17 
81,Shri Tirath Singh Rawat,Garhwal,Uttarakhand,20 
23,Shri Ajay Bhatt,Nainital-Udhamsingh Nagar,Uttarakhand,20 
469,Shri Hasnain Masoodi,Anantnag,Jammu and Kashmir,11 
486,Shri Mohammad Akbar Lone,Baramulla,Jammu and Kashmir,12 
253,Shri Jamyang Tsering Namgyal,Ladakh,Ladakh,19 
272,Shri Vijay Baghel,Durg,Chhattisgarh,19 
539,Shri Deepak Baij,Bastar,Chhattisgarh,19 
332,Shri Arun Sao,Bilaspur,Chhattisgarh,20 
247,Shri Mohan Mandavi,Kanker,Chhattisgarh,20 
481,Smt. Jyotsna Charandas Mahant,Korba,Chhattisgarh,17 
248,Shri Chunni Lal Sahu,Mahasamund,Chhattisgarh,19 
221,Smt. Gomati Sai,Raigarh,Chhattisgarh,16 
273,Shri Sunil Kumar Soni,Raipur,Chhattisgarh,14 
276,Shri Santosh Pandey,Rajnandgaon,Chhattisgarh,14 
179,Shri Hasmukhbhai Somabhai Patel,Ahmedabad East,Gujarat,17 
178,Shri Mitesh Patel Bakabhai,Anand,Gujarat,14 
324,Shri Parbatbhai Savabhai Patel,Banaskantha,Gujarat,20 
104,Smt. Gitaben Vajesingbhai Rathva,Chhota Udaipur,Gujarat,19 
103,Smt. Sharda Anilkumar Patel,Mahesana,Gujarat,18 
56,Shri Ratansinh Magansinh Rathod,Panchmahal,Gujarat,18 
180,Shri Bharatsinhji Shankarji Dabhi,Patan,Gujarat,12 
115,Shri Horen Sing Bey,Autonomous District,Assam,17 
252,Shri Rameshbhai Lavjibhai Dhaduk,Porbandar,Gujarat,13 
76,Dr. Mahendrabhai Kalubhai Munjpara,Surendranagar,Gujarat,20 
334,Shri Brijendra Singh,Hisar,Haryana,20 
48,Shri Sanjay Bhatia,Karnal,Haryana,20 
120,Shri Nayab Singh,Kurukshetra,Haryana,17 
107,Smt. Sunita Duggal,Sirsa,Haryana,20 
176,Shri Gautam Gambhir,East Delhi,NCT of Delhi,17 
244,Shri Hans Raj Hans,North West Delhi,NCT of Delhi,2 
77,Shri John Barla,Alipurduars,West Bengal,20 
258,Dr. Sukanta Majumdar,Balurghat,West Bengal,20 
75,Shri Shantanu Thakur,Bangaon,West Bengal,20 
72,Dr. Subhas Sarkar,Bankura,West Bengal,19 
349,Shri Arjun Singh,Barrackpur,West Bengal,19 
467,Ms. Nussrat Jahan,Basirhat,West Bengal,11 
475,Shri Asit Kumar Mal,Bolpur,West Bengal,18 
135,Shri Nisith Pramanik,Coochbehar,West Bengal,20 
262,Shri Raju Bista,Darjeeling,West Bengal,19 
109,Smt. Locket Chatterjee,Hooghly,West Bengal,20 
468,Ms. Mimi Chakraborty,Jadavpur,West Bengal,7 
257,Dr. Jayanta Kumar Roy,Jalpaiguri,West Bengal,20 
417,Shri Khalilur Rahaman,Jangipur,West Bengal,13 
260,Shri Kunar Hembram,Jhargram,West Bengal,20 
459,Smt. Mala Roy,Kolkata Dakshin,West Bengal,18 
466,Ms Mahua Moitra,Krishnanagar,West Bengal,14 
263,Shri Khagen Murmu,Maldaha Uttar,West Bengal,19 
168,Shri Dilip Ghosh,Medinipur,West Bengal,16 
476,Md Abu Taher Khan,Murshidabad,West Bengal,11 
186,Shri Jyotirmay Singh Mahato,Purulia,West Bengal,17 
259,Shri Jagannath Sarkar,Ranaghat,West Bengal,20 
261,Dr. Dhal Singh Bisen,Balaghat,Madhya Pradesh,20 
348,Shri Durgadas D D Uikey,Betul,Madhya Pradesh,20 
52,Smt. Sandhya Ray,Bhind,Madhya Pradesh,19 
199,Sadhvi Pragya Singh Thakur,Bhopal,Madhya Pradesh,18 
492,Shri Nakul K. Nath,Chhindwara,Madhya Pradesh,14 
344,Shri Mahendra Singh Solanky,Dewas,Madhya Pradesh,20 
345,Dr. Krishnapal Singh Yadav,Guna,Madhya Pradesh,20 
113,Shri Vivek Narayan Shejwalkar,Gwalior,Madhya Pradesh,19 
264,Shri Shankar Lalwani,Indore,Madhya Pradesh,20 
251,Shri Vishnu Datt Sharma,Khajuraho,Madhya Pradesh,20 
347,Shri Gajendra  Singh Patel,Khargone,Madhya Pradesh,14 
346,Shri Guman Singh Damor,Ratlam,Madhya Pradesh,18 
343,Shri Rajbahadur Singh,Sagar,Madhya Pradesh,19 
102,Smt. Himadri Singh,Shahdol,Madhya Pradesh,20 
112,Shri Anil Firojiya,Ujjain,Madhya Pradesh,15 
342,Shri Ramakant Bhargava,Vidisha,Madhya Pradesh,14 
245,Shri Soyam Bapu Rao,Adilabad,Telangana,18 
543,Shri Komati Reddy Venkat Reddy,Bhongir,Telangana,7 
409,Dr. Gaddam Ranjith Reddy,Chevella,Telangana,19 
122,Shri Bandi Sanjay Kumar,Karimnagar,Telangana,18 
400,Smt. Kavitha Maloth,Mahabubabad,Telangana,17 
383,Shri Srinivas Reddy Manne,Mahabubnagar,Telangana,14 
536,Shri Anumula Revanth Reddy,Malkajgiri,Telangana,14 
375,Shri Ramulu Pothuganti,Nagarkurnool,Telangana,20 
529,Shri Uttam Kumar Nalamada Reddy,Nalgonda,Telangana,19 
246,Shri Arvind Dharmapuri,Nizamabad,Telangana,20 
422,Shri Venkatesh Netha Borlakunta,Peddapalle,Telangana,17 
397,Smt.  Chinta Anuradha,Amalapuram,Andhra Pradesh,15 
395,Dr. Venkata Satyavathi Beesetti,Anakapalle,Andhra Pradesh,19 
407,Dr. Talari Rangaiah,Anantapur,Andhra Pradesh,20 
396,Smt. Goddeti Madhavi,Araku,Andhra Pradesh,18 
373,Shri Nandigam Suresh,Bapatla,Andhra Pradesh,15 
387,Shri Reddeppa Nallakonda Gari,Chittoor,Andhra Pradesh,19 
372,Shri Kotagiri Sridhar,Eluru,Andhra Pradesh,15 
415,Shri Kuruva Gorantla Madhav,Hindupur,Andhra Pradesh,19 
367,Smt. Geetha Viswanath Vanga,Kakinada,Andhra Pradesh,17 
414,Dr. Sanjeev Kumar Singari,Kurnool,Andhra Pradesh,15 
416,Shri Pocha Brahmananda Reddy,Nandyal,Andhra Pradesh,18 
380,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,Andhra Pradesh,19 
428,Shri Raghu Ramakrishna Raju Kanumuru,Narsapuram,Andhra Pradesh,20 
366,Shri Bharat Ram Margani,Rajahmundry,Andhra Pradesh,14 
427,Shri M V V Satyanarayana,Visakhapatnam,Andhra Pradesh,14 
379,Shri Adala Prabhakara Reddy,Nellore,Andhra Pradesh,18 
401,Shri Durga Prasad Rao Balli,Tirupati,Andhra Pradesh,15 
405,Shri Chandra Sekhar Bellana,Vizianagaram,Andhra Pradesh,19 
473,Shri Abdul Khaleque,Barpeta,Assam,20 
106,Smt. Queen Oja,Gauhati,Assam,17 
332,Shri Topon Kumar Gogoi,Jorhat,Assam,19 
116,Shri Kripanath Mallah,Karimganj,Assam,15 
331,Shri Dilip Saikia,Darrang Udalguri,Assam,9 
528,Shri Pradyut Bordoloi,Nagaon,Assam,19 
275,Dr. Rajdeep Roy,Silchar,Assam,18 
274,Shri Pallab Lochan Das,Tezpur,Assam,17 
293,Dr. Indra Hang Subba,Sikkim,Sikkim,14 
119,Shri Kishan Kapoor,Kangra,Himachal Pradesh,20 
336,Shri Suresh Kumar Kashyap,Shimla,Himachal Pradesh,20 
188,Shri Sunil Soren,Dumka,Jharkhand,9 
63,Smt. Annpurna Devi,Kodarma,Jharkhand,3 
250,Shri Sanjay Seth,Ranchi,Jharkhand,3 
